#;NAME;;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;F0;;;F1;;;F2;;;F3;;;PEPOCH;;DM;;;DM1;;;S400;;;S1400;;;BINARY;;T0;;;PB;;;A1;;;OM;;;ECC;;;TASC;;;EPS1;;;EPS2;;;DIST;ASSOC;SURVEY;PSR;
;;;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(Hz);;;(s^-2);;;(s^-3);;;(s^-4);;;(MJD);;(cm^-3pc);;;(cm^-3pc/yr);;;(mJy);;;(mJy);;;(type);;(MJD);;;(days);;;(ltsec);;;(deg);;;;;;(MJD);;;;;;;;;(kpc);;;TYPE;
549;J1010+15;dsm+13;J1010+15;dsm+13;10:10:00;3.1e+01;dsm+13;+15:51;8.0e+00;dsm+13;*;0;*;*;0;*;*;0;*;*;*;221.258;50.980;*;0;*;*;0;*;*;0;*;*;0;*;*;*;42;0;dsm+13;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;25.000;*;ar327;RRAT[dsm+13];
550;J1012+5307;nll+95;J1012+5307;nll+95;10:12:33.438448;1.1e-05;aab+21a;+53:07:02.26348;1.3e-04;aab+21a;2.624;3.0e-03;abb+23;-25.487;4.0e-03;abb+23;0.90;8.0e-02;abb+23;55566.0;aab+21a;160.347;50.858;190.2678344415654;2.0e-13;abb+23;-6.20041E-16;2.0e-21;abb+23;*;0;*;*;0;*;55000;abb+23;9.0211;4.0e-04;abb+23;0.000120;1.0e-05;abb+23;30;0;nll+95;4;3.0e+00;aab+21a;T2;abb+23;*;0;*;0.604672722921;3.0e-12;abb+23;0.58181715;6.0e-08;abb+23;86;0.0e+00;abb+23;1.18E-6;0.0e+00;abb+23;50700.081746010;1.0e-08;abb+23;1.18E-6;5.0e-08;abb+23;9.0E-8;5.0e-08;abb+23;0.700;OPT:[cgk98];misc,gbncc,lotaas;HE[wob+04];
551;B1010-23;mlt+78;J1012-2337;mlt+78;10:12:33.72;3.2e-02;hlk+04;-23:38:22.4;5.8e-01;hlk+04;*;0;*;*;0;*;*;0;*;49874.0;hlk+04;262.131;26.377;0.397149259359;6.0e-12;hlk+04;-1.3895E-16;5.0e-20;hlk+04;6.0E-28;8.8e-28;hlk+04;*;0;*;49874.0;hlk+04;22.51;9.0e-02;hlk+04;*;0;*;4.1;8.0e-01;lylg95;0.135;1.3e-02;xwh+19;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;0.983;*;mol2;*;
552;J1012-4235;ckr+15;J1012-4235;ckr+15;10:12:12.938468;1.0e-05;sbf+24;-42:35:53.39975;1.3e-04;sbf+24;-4.09;5.0e-02;gfw+24;5.15;6.0e-02;gfw+24;0.8;5.0e-01;gfw+24;59152;sbf+24;274.218;11.225;322.461932664884;3.0e-12;gfw+24;-6.8062E-16;8.0e-20;gfw+24;*;0;*;*;0;*;59111.238529;gfw+24;71.65084;8.0e-05;gfw+24;0.00092;9.0e-05;gfw+24;*;0;*;0.258;6.0e-03;sbm+22;ELL1H+;gfw+24;*;0;*;37.972463182;3.0e-09;gfw+24;21.2630690;3.0e-07;gfw+24;335.936;0.0e+00;gfw+24;0.000345725;0.0e+00;gfw+24;58862.54852575;4.0e-08;gfw+24;-0.000140974;1.6e-08;gfw+24;0.000315677;9.0e-09;gfw+24;0.372;GRS:4FGL_J1012.1-4235[aab+22];FermiAssoc;HE[ckr+15];
553;J1012-5830;kbm+03;J1012-5830;kbm+03;10:12:54.9;1.0e-01;kbm+03;-58:30:25.6;8.0e-01;kbm+03;*;0;*;*;0;*;*;0;*;51702.00;*;283.459;-1.762;0.46869334353;7.0e-11;kbm+03;-8.271E-15;1.4e-17;kbm+03;*;0;*;*;0;*;51702.0;kbm+03;294;4.0e+00;kbm+03;*;0;*;*;0;*;0.08;2.0e-02;kbm+03;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.799;*;pksmb,htru_pks;*;
554;B1011-58;jlm+92;J1012-5857;jlm+92;10:12:48.470;5.0e-03;lbs+20;-58:57:48.50;3.0e-02;lbs+20;*;0;*;*;0;*;*;0;*;57600;lbs+20;283.707;-2.146;1.219621894260;1.0e-11;lbs+20;-2.647184E-14;4.0e-20;lbs+20;*;0;*;*;0;*;57600;lbs+20;383.90;1.0e-01;jml+95;*;0;*;15;2.0e+00;lml+98;1.910;1.0e-02;jsd+21;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.185;*;pks1,htru_pks,misc,pks70,pksmb;*;
555;J1013-5934;kbm+03;J1013-5934;kbm+03;10:13:31.848;2.0e-03;lbs+20;-59:34:26.63;1.0e-02;lbs+20;*;0;*;*;0;*;*;0;*;57600;lbs+20;284.130;-2.596;2.257841241410;1.0e-11;lbs+20;-2.83682E-15;4.0e-20;lbs+20;*;0;*;*;0;*;57600;lbs+20;379.78;1.7e-01;kbm+03;*;0;*;*;0;*;2.6;6.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.145;*;pksmb,htru_pks,misc;*;
556;J1014-48;bbj+11;J1014-48;bbj+11;10:14:18;4.2e+01;bbj+11;-48:49:42;4.2e+02;bbj+11;*;0;*;*;0;*;*;0;*;55196.00;*;278.136;6.330;0.66278;9.0e-05;bbj+11;*;0;*;*;0;*;*;0;*;55196;bbj+11;87;7.0e+00;bbj+11;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;0.379;*;htru_pks;RRAT;
557;J1015-5359;pbs+23;J1015-5359;pbs+23;10:15:57.7514;0;pbs+23;-53:59:11.9999;0;pbs+23;*;0;*;*;0;*;*;0;*;*;*;281.262;2.212;48.07577;7.0e-05;pbs+23;*;0;*;*;0;*;*;0;*;*;*;30.80;1.6e-01;pbs+23;*;0;*;*;0;*;*;0;*;?;pbs+23;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;0.092;*;mmgps-l;*;
558;J1015-5719;kbm+03;J1015-5719;kbm+03;10:15:37.96;4.0e-02;kbm+03;-57:19:12.8;2.0e-01;kbm+03;*;0;*;*;0;*;*;0;*;51476.00;*;283.088;-0.578;7.1488991067;3.0e-10;kbm+03;-2.93189E-12;7.0e-17;kbm+03;*;0;*;*;0;*;51476.0;kbm+03;278.1;2.0e-01;pkj+13;*;0;*;*;0;*;3.0;2.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.732;*;pksmb,htru_pks,misc;*;
559;B1014-53;mlt+78;J1016-5345;mlt+78;10:16:31.135;4.0e-03;lbs+20;-53:45:14.26;3.0e-02;lbs+20;*;0;*;*;0;*;*;0;*;57600;lbs+20;281.201;2.450;1.29940016176;2.0e-11;lbs+20;-3.25316E-15;6.0e-20;lbs+20;*;0;*;*;0;*;57600;lbs+20;66.8;1.8e+00;nmc81;*;0;*;3.5;0;tml93;1.1;4.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;0.116;*;mol2,htru_pks,misc,pks1,pksmb;*;
560;J1016-5819;mlc+01;J1016-5819;mlc+01;10:16:12.071;2.0e-03;psj+19;-58:19:01.07;1.6e-01;psj+19;*;0;*;*;0;*;*;0;*;55333;psj+19;283.708;-1.363;11.38507898552;7.0e-11;psj+19;-9.05763E-14;1.3e-18;psj+19;*;0;*;*;0;*;55333;psj+19;252.16;7.0e-02;pkj+13;*;0;*;*;0;*;0.36;2.0e-02;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.587;*;pksmb,htru_pks;*;
561;J1016-5857;cbm+01;J1016-5857;cbm+01;10:16:21.16;1.0e-02;hfs+04;-58:57:12.1;1.0e-01;hfs+04;*;0;*;*;0;*;*;0;*;52717.00;*;284.079;-1.880;9.31216108951;1.3e-10;hfs+04;-7.00965E-12;5.0e-17;hfs+04;*;0;*;*;0;*;52717.0;hfs+04;394.48;9.0e-02;pkj+13;*;0;*;*;0;*;0.90;5.0e-02;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.162;GRS:4FGL_J1016.3-5857[aab+22],SNR:G284.3-1.8(?);pksmb,FermiBlind,htru_pks,misc;HE[aab+22];
562;J1017+3011;scb+19;J1017+3011;scb+19;10:17:36.29;3.0e-02;tbc+20;+30:11:46.1;4.0e-01;tbc+20;*;0;*;*;0;*;*;0;*;57986.00;*;198.432;56.273;2.2085533725;1.0e-09;tbc+20;-2.78E-15;1.5e-16;tbc+20;*;0;*;*;0;*;57986;tbc+20;27.1;0;whx+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;25.000;*;lotaas,fast_gpps;*;
563;B1015-56;mlt+78;J1017-5621;mlt+78;10:17:12.831;3.0e-03;jbv+19;-56:21:30.52;3.0e-02;jbv+19;*;0;*;*;0;*;*;0;*;57600;jbv+19;282.732;0.341;1.986244776367;7.0e-12;jbv+19;-1.23870E-14;1.0e-18;jbv+19;*;0;*;*;0;*;57600;jbv+19;438.7;5.0e-01;hfs+04;*;0;*;15;0;tml93;2.200;1.0e-02;jsd+21;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.513;*;mol2,htru_pks,misc,pks1,pks70,pksmb;*;
564;J1017-7156;kjb+12;J1017-7156;kjb+12;10:17:51.310659;1.2e-05;sbf+24;-71:56:41.57134;5.5e-05;sbf+24;-7.44;6.0e-02;*;6.91;6.0e-02;*;0.6;6.0e-01;rsc+21;59132;sbf+24;291.558;-12.553;427.6219050534547;8.0e-13;rsc+21;-4.04830E-16;1.0e-20;rsc+21;*;0;*;*;0;*;56813;rsc+21;94.21473;1.0e-04;sbm+22;*;0;*;*;0;*;1.09;3.0e-02;sbm+22;T2;rsc+21;55335.061;7.0e-03;rsc+21;6.5119041;9.0e-07;rsc+21;4.83003;7.0e-05;rsc+21;329.5;4.0e-01;rsc+21;0.0001424;6.0e-07;rsc+21;*;0;*;*;0;*;*;0;*;1.807;*;htru_pks;*;
565;J1018-1523;spp+23;J1018-1523;spp+23;10:18:12.7194;8.9e-04;spp+23;-15:23:10.24;2.7e-02;spp+23;*;0;*;*;0;*;*;0;*;57998.00;*;257.129;33.529;12.02609153542;3.0e-11;spp+23;-1.581E-17;8.0e-20;spp+23;*;0;*;*;0;*;57998;spp+23;17.158;2.0e-03;spp+23;*;0;*;*;0;*;*;0;*;DD;spp+23;57545.74874;3.0e-05;spp+23;8.9839727;6.0e-07;spp+23;26.15662;3.0e-05;spp+23;60.0130;1.0e-03;spp+23;0.227749;2.0e-06;spp+23;*;0;*;*;0;*;*;0;*;1.068;*;gbncc;*;
566;B1016-16;dtws85;J1018-1642;dtws85;10:18:40.36;2.2e-02;hlk+04;-16:42:10.1;4.7e-01;hlk+04;*;0;*;*;0;*;*;0;*;49688.0;hlk+04;258.261;32.610;0.554110267968;3.0e-12;hlk+04;-5.3492E-16;3.0e-20;hlk+04;-3.3E-28;4.2e-28;hlk+04;*;0;*;49688.0;hlk+04;48.82;7.0e-02;hlk+04;*;0;*;5.1;8.0e-01;lylg95;0.7;2.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;25.000;*;gb2,misc,pks70;*;
567;J1019-5749;kbm+03;J1019-5749;kbm+03;10:19:52.14;4.0e-02;kbm+03;-57:49:05.9;5.0e-01;kbm+03;*;0;*;*;0;*;*;0;*;55434.00;*;283.837;-0.679;6.15362843235;1.6e-10;saa+23;-7.59517E-13;5.0e-18;saa+23;2.38E-24;6.0e-26;saa+23;*;0;*;55434;saa+23;1040.0;1.0e+00;pkj+13;*;0;*;*;0;*;3.8;2.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;10.914;GRS:4FGL_J1019.8-5749[aab+22];pksmb,FermiAssoc,htru_pks,misc;HE[kbm+03],HE[aab+22];
568;J1020-5510;pbs+23;J1020-5510;pbs+23;10:20:31.93;0;pbs+23;-55:10:07.80;0;pbs+23;*;0;*;*;0;*;*;0;*;*;*;282.468;1.591;253.628279;2.0e-05;pbs+23;*;0;*;*;0;*;*;0;*;*;*;134.800;9.0e-03;pbs+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.774;*;mmgps-l;*;
569;J1020-5921;kbm+03;J1020-5921;kbm+03;10:20:14.03;8.0e-02;kbm+03;-59:21:34;1.0e+00;kbm+03;*;0;*;*;0;*;*;0;*;51397.00;*;284.719;-1.944;0.80755526467;8.0e-11;kbm+03;-2.639E-14;6.0e-17;kbm+03;*;0;*;*;0;*;51397.00001;kbm+03;80;3.0e+00;kbm+03;*;0;*;*;0;*;0.2;0;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;0.938;*;pksmb,htru_pks;*;
570;J1020-6026;lfl+06;J1020-6026;lfl+06;10:20:11.41;1.9e-01;psj+19;-60:26:06.3;1.2e+00;psj+19;*;0;*;*;0;*;*;0;*;55494;psj+19;285.302;-2.848;7.11838566803;5.0e-11;psj+19;-3.41421E-13;5.0e-18;psj+19;*;0;*;*;0;*;55494;psj+19;446.0;5.0e-01;jkk+20;*;0;*;*;0;*;0.250;1.0e-02;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.277;*;pksmb,htru_pks;*;
571;J1020-6158;pbs+23;J1020-6158;pbs+23;10:20:12.25;0;pbs+23;-61:58:51.70;0;pbs+23;*;0;*;*;0;*;*;0;*;*;*;286.150;-4.142;3.535085;8.0e-06;pbs+23;*;0;*;*;0;*;*;0;*;*;*;363.0;3.0e-01;pbs+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.003;*;mmgps-l;*;
572;J1021-5601;hfs+04;J1021-5601;hfs+04;10:21:24.82;1.5e-01;hfs+04;-56:01:50.9;1.1e+00;hfs+04;*;0;*;*;0;*;*;0;*;51875.00;*;283.041;0.935;1.4924787334;3.0e-10;hfs+04;-1.19E-16;1.3e-17;hfs+04;*;0;*;*;0;*;51875.0;hfs+04;212;8.0e+00;hfs+04;*;0;*;*;0;*;0.37;5.0e-02;hfs+04;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.429;*;pksmb,htru_pks;*;
573;J1022+1001;cnst96;J1022+1001;cnst96;10:22:57.9895;1.8e-03;sbf+24;+10:01:52.92;6.7e-02;sbf+24;-21.4;1.5e+00;*;-11;3.7e+00;*;1.16;8.0e-02;abb+23;59166;sbf+24;231.794;51.101;60.7794479566973;2.0e-13;abb+23;-1.600940E-16;1.0e-21;abb+23;*;0;*;*;0;*;55000;abb+23;10.2580;9.0e-04;abb+23;-0.00016;6.0e-05;abb+23;75;0;stc99;3.9;3.0e-01;sbm+22;DDH;abb+23;50246.7172;2.0e-04;abb+23;7.8051340;2.0e-07;abb+23;16.7654035;5.0e-07;abb+23;97.711;8.0e-03;abb+23;9.6970E-5;1.0e-08;abb+23;*;0;*;*;0;*;*;0;*;0.725;*;ar4,gb4,lotaas,pkshl;*;
574;J1022-5813;kbm+03;J1022-5813;kbm+03;10:22:28.1;2.0e-01;kbm+03;-58:13:30;4.0e+00;kbm+03;*;0;*;*;0;*;*;0;*;51398.00;*;284.347;-0.834;0.60837390099;1.9e-10;kbm+03;-5.382E-14;1.2e-16;kbm+03;*;0;*;*;0;*;51398.00001;kbm+03;714;8.0e+00;kbm+03;*;0;*;*;0;*;0.20;3.0e-02;kbm+03;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.246;*;pksmb,htru_pks;*;
575;J1023+0038;asr+09;J1023+0038;asr+09;10:23:47.68720;3.0e-05;dab+12;+00:38:40.8455;5.0e-04;dab+12;4.76;3.0e-02;dab+12;-17.34;4.0e-02;dab+12;0.73;3.0e-02;dab+12;55000;dab+12;243.490;45.782;592.42145906986;1.0e-10;akh+13;-2.432E-15;3.0e-18;akh+13;*;0;*;*;0;*;54906;akh+13;14.325;1.0e-02;asr+09;*;0;*;*;0;*;*;0;*;T2;akh+13;54905.9713992;3.0e-07;akh+13;0.1980963569;3.0e-10;akh+13;0.343343;3.0e-06;akh+13;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.190;OPT:AY_Sex[asr+09],XRS:[akb+10];misc;HE[jah+16],HE[aps+17];
576;J1023-5746;sdz+10;J1023-5746;sdz+10;10:23:02.9;5.0e-01;sdz+10;-57:46:05;2.0e+00;sdz+10;*;0;*;*;0;*;*;0;*;54856.00;*;284.166;-0.407;8.970827684;7.0e-09;sdz+10;-3.088250E-11;1.0e-16;sdz+10;7.1E-21;2.0e-22;sdz+10;-1.09E-28;4.0e-30;sdz+10;54856;sdz+10;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.080;GRS:4FGL_J1023.0-5745[aab+22],GRS:HESS_J1023-575,XRS:CXOU_J102302.8-574606;FermiBlind;NRAD;
577;J1024-0719;bjb+97;J1024-0719;bjb+97;10:24:38.648393;3.2e-06;sbf+24;-07:19:19.97953;1.0e-04;sbf+24;-35.277;5.0e-03;abb+23;-48.230;1.0e-02;abb+23;0.97;1.3e-01;sbf+24;59152;sbf+24;251.702;40.515;193.715683448548;2.0e-12;abb+23;-6.9593E-16;2.0e-20;abb+23;-3.57E-27;7.0e-29;abb+23;*;0;*;55000;abb+23;6.4885;1.0e-03;abb+23;0.0004;2.0e-04;abb+23;4.6;1.2e+00;bjb+97;1.50;8.0e-02;sbm+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.220;GRS:4FGL_J1024.5-0719[aab+22],OPT:2MASS_10243869-0719190[kkn+16];pks70,FermiBlind,pkshl;HE[egc+13];
578;J1028-5819;kjk+08;J1028-5819;kjk+08;10:28:28.0;1.0e-01;kjk+08;-58:19:05.2;1.5e+00;kjk+08;*;0;*;*;0;*;*;0;*;54562.00;*;285.065;-0.496;10.94053230;1.7e-07;kjk+08;-1.93E-12;1.0e-13;kjk+08;*;0;*;*;0;*;54562;kjk+08;96.525;2.0e-03;kjk+08;*;0;*;*;0;*;0.24;2.0e-02;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.423;GRS:4FGL_J1028.5-5819[aab+22];misc,FermiBlind,htru_pks;HE[aaa+09];
579;J1030-6008;pbs+23;J1030-6008;pbs+23;10:30:26.1646;0;pbs+23;-60:08:37.3999;0;pbs+23;*;0;*;*;0;*;*;0;*;*;*;286.225;-1.928;36.597245;1.3e-05;pbs+23;*;0;*;*;0;*;*;0;*;*;*;370.80;4.0e-02;pbs+23;*;0;*;*;0;*;*;0;*;?;pbs+23;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.855;*;mmgps-l;*;
580;J1031-6117;kbm+03;J1031-6117;kbm+03;10:31:02.24;7.0e-02;kbm+03;-61:17:50.6;3.0e-01;kbm+03;*;0;*;*;0;*;*;0;*;51496.00;*;286.880;-2.881;3.26359214120;1.1e-10;kbm+03;-1.900E-14;6.0e-17;kbm+03;*;0;*;*;0;*;51496.0;kbm+03;506.8;1.2e+00;kbm+03;*;0;*;*;0;*;0.12;2.0e-02;kbm+03;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.383;*;pksmb;*;
581;J1032-5206;hfs+04;J1032-5206;hfs+04;10:32:27.69;7.0e-02;hfs+04;-52:06:08.5;6.0e-01;hfs+04;*;0;*;*;0;*;*;0;*;52161.00;*;282.354;5.128;0.415347538228;1.9e-11;hfs+04;-3.0865E-15;1.8e-18;hfs+04;*;0;*;*;0;*;52161.0;hfs+04;139;4.0e+00;hfs+04;*;0;*;*;0;*;0.19;3.0e-02;hfs+04;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.096;*;pksmb,htru_pks;*;
582;J1032-5804;wks+24;J1032-5804;wks+24;10:32:50.54;1.0e-02;wks+24;-58:04:34.9;2.0e-01;wks+24;*;0;*;*;0;*;*;0;*;60100;wks+24;285.436;0.008;12.6998621581;4.0e-10;wks+24;-5.81654E-12;1.0e-16;wks+24;*;0;*;*;0;*;60100;wks+24;819;4.0e+00;wks+24;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.324;*;misc;*;
583;B1030-58;mlt+78;J1032-5911;mlt+78;10:32:04.876;1.0e-03;lbs+20;-59:11:54.8;1.0e-01;lbs+20;*;0;*;*;0;*;*;0;*;57600;lbs+20;285.920;-1.010;2.15418526489;3.0e-11;lbs+20;-8.3414E-15;5.0e-19;lbs+20;*;0;*;*;0;*;57600;lbs+20;418.20;1.7e-01;hfs+04;*;0;*;14;0;tml93;1.1;2.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.005;*;mol2,htru_pks,pks70,pksmb;*;
584;J1034-3224;mld+96;J1034-3224;mld+96;10:34:19.51;2.3e-02;hlk+04;-32:24:26.0;3.2e-01;hlk+04;*;0;*;*;0;*;*;0;*;50705.0;hlk+04;272.050;22.117;0.869118997779;7.0e-12;hlk+04;-1.7408E-16;6.0e-20;hlk+04;3.5E-28;2.0e-27;hlk+04;*;0;*;50705.0;hlk+04;50.75;8.0e-02;hlk+04;*;0;*;41;0;mld+96;8;3.0e+00;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.635;*;pks70,gbncc,misc,pkssw;*;
585;J1034-5817;pbs+23;J1034-5817;pbs+23;10:34:28.66;0;pbs+23;-58:17:57.50;0;pbs+23;*;0;*;*;0;*;*;0;*;*;*;285.734;-0.076;1.26346;7.0e-05;pbs+23;*;0;*;*;0;*;*;0;*;*;*;579;6.0e+00;pbs+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.523;*;mmgps-l;*;
586;J1034-5934;pbs+23;J1034-5934;pbs+23;10:34:36.555;0;pbs+23;-59:34:21.8497;0;pbs+23;*;0;*;*;0;*;*;0;*;*;*;286.386;-1.170;29.00953;7.0e-05;pbs+23;*;0;*;*;0;*;*;0;*;*;*;603.8;4.0e-01;pbs+23;*;0;*;*;0;*;*;0;*;?;pbs+23;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.578;*;mmgps-l;*;
587;J1035-6345;kbm+03;J1035-6345;kbm+03;10:35:03.08;1.0e-02;kbm+03;-63:45:18.41;6.0e-02;kbm+03;*;0;*;*;0;*;*;0;*;51875.00;*;288.528;-4.765;1.725397065370;1.8e-11;kbm+03;-1.043E-15;4.0e-18;kbm+03;*;0;*;*;0;*;51875.0;kbm+03;189.7;9.0e-01;kbm+03;*;0;*;*;0;*;0.24;3.0e-02;kbm+03;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.167;*;pksmb,htru_pks;*;
588;J1035-6720;cpw+18;J1035-6720;cpw+18;10:35:27.478;1.0e-03;cpw+18;-67:20:12.692;6.0e-03;cpw+18;-12;3.0e+00;cpw+18;1.0;3.0e+00;cpw+18;*;0;*;55716.00;*;290.371;-7.843;348.18864014054;8.0e-11;cpw+18;-5.6330E-15;1.0e-18;cpw+18;*;0;*;*;0;*;55716;cpw+18;84.166;1.1e-02;sbm+22;*;0;*;*;0;*;0.065;2.0e-03;sbm+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.461;GRS:4FGL_J1035.4-6720[aab+22];FermiBlind;HE[cpw+18];
589;J1036-4353;cbb+23;J1036-4353;cbb+23;10:36:30.21513;1.0e-05;gvb+23;-43:53:08.7252;2.0e-04;gvb+23;*;0;*;*;0;*;*;0;*;*;*;278.724;12.553;595.2;0;cbb+23;*;0;*;*;0;*;*;0;*;*;*;61.1;0;cbb+23;*;0;*;*;0;*;*;0;*;ELL1;cbb+23;*;0;*;0.259;0;cbb+23;0.665;0;cbb+23;*;0;*;*;0;*;59536.31;0;cbb+23;*;0;*;*;0;*;0.408;*;meerkat_trapum;*;
590;J1036-4926;mld+96;J1036-4926;mld+96;10:36:13.121;7.0e-03;lbs+20;-49:26:21.2;1.0e-01;lbs+20;*;0;*;*;0;*;*;0;*;57600;lbs+20;281.519;7.727;1.959365107620;1.0e-11;lbs+20;-6.3385E-15;3.0e-19;lbs+20;*;0;*;*;0;*;57600;lbs+20;136.520;1.0e-02;lbs+20;*;0;*;9;0;mld+96;0.8;2.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.313;*;pks70,ghrss,htru_pks,misc,pkssw;*;
591;J1036-6559;bbb+12;J1036-6559;bbb+12;10:36:20.04;2.0e-02;bbb+12;-65:59:09.27;6.0e-02;bbb+12;*;0;*;*;0;*;*;0;*;55010.00;*;289.766;-6.630;1.8744076182;3.0e-10;bbb+12;-4.785E-15;4.0e-18;bbb+12;*;0;*;*;0;*;55010;bbb+12;158.36;9.0e-02;bbb+12;*;0;*;*;0;*;0.30;1.0e-01;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.052;*;htru_pks;*;
592;J1036-8317;ckr+15;J1036-8317;ckr+15;10:36:40.59085;3.1e-05;sbf+24;-83:17:56.14036;4.0e-05;sbf+24;-11.35;6.0e-02;*;2.86;6.0e-02;*;*;0;*;59187;sbf+24;298.943;-21.497;293.427230;0;ckr+15;*;0;*;*;0;*;*;0;*;56657;ckr+15;27.0927;2.0e-04;sbm+22;*;0;*;*;0;*;0.45;2.0e-02;sbm+22;BT;ckr+15;*;0;*;0.335;0;ckr+15;0.506;0;ckr+15;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;0.935;GRS:4FGL_J1036.5-8318[aab+22];FermiAssoc;HE[ckr+15];
593;J1038+0032;bjd+06;J1038+0032;bjd+06;10:38:26.933;9.0e-03;bjd+06;+00:32:43.6;3.0e-01;bjd+06;*;0;*;*;0;*;*;0;*;53000.00;*;247.152;48.471;34.66017334965;1.0e-10;bjd+06;-8.0E-17;9.0e-18;bjd+06;*;0;*;*;0;*;53000;bjd+06;26.5;0;whx+23;*;0;*;*;0;*;0.102;1.2e-02;sbm+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;5.558;*;pkshl,gbncc,fast_gpps;*;
