#;NAME;;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;F0;;;F1;;;F2;;;F3;;;PEPOCH;;DM;;;DM1;;;S400;;;S1400;;;BINARY;;T0;;;PB;;;A1;;;OM;;;ECC;;;TASC;;;EPS1;;;EPS2;;;DIST;ASSOC;SURVEY;PSR;
;;;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(Hz);;;(s^-2);;;(s^-3);;;(s^-4);;;(MJD);;(cm^-3pc);;;(cm^-3pc/yr);;;(mJy);;;(mJy);;;(type);;(MJD);;;(days);;;(ltsec);;;(deg);;;;;;(MJD);;;;;;;;;(kpc);;;TYPE;
11;B0021-72E;mlr+91;J0024-7204E;mlr+91;00:24:11.10528;5.0e-05;frk+17;-72:05:20.1492;2.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.883;-44.883;282.779107035000;3.0e-12;frk+17;-7.87728E-15;4.0e-20;frk+17;2.9E-27;2.0e-28;frk+17;*;0;*;51600;frk+17;24.2396;2.0e-04;apr+23;*;0;*;*;0;*;*;0;*;DD;frk+17;51001.7900;8.0e-04;frk+17;2.2568483;9.0e-07;frk+17;1.9818427;4.0e-07;frk+17;218.60;1.0e-01;frk+17;0.0003159;4.0e-07;frk+17;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
12;B0021-72F;mlr+91;J0024-7204F;mlr+91;00:24:03.85547;1.0e-04;frk+17;-72:04:42.8183;2.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.899;-44.892;381.158663656311;5.0e-12;frk+17;-9.37110E-15;1.0e-19;frk+17;6.8E-27;7.0e-28;frk+17;*;0;*;51600;frk+17;24.3841;3.0e-04;apr+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
13;B0021-72G;rlm+95;J0024-7204G;rlm+95;00:24:07.9603;1.0e-04;frk+17;-72:04:39.7030;5.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.891;-44.893;247.501525096385;8.0e-12;frk+17;2.58250E-15;1.0e-19;frk+17;6.0E-27;9.0e-28;frk+17;*;0;*;51600;frk+17;24.4343;2.0e-04;apr+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
14;B0021-72H;mlr+91;J0024-7204H;mlr+91;00:24:06.7032;2.0e-04;frk+17;-72:04:06.8067;6.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.896;-44.902;311.493417844230;1.0e-11;frk+17;1.7750E-16;1.0e-19;frk+17;1.60E-25;2.0e-27;frk+17;*;0;*;51600;frk+17;24.3750;9.0e-04;apr+23;*;0;*;*;0;*;*;0;*;DD;frk+17;51602.186289;7.0e-06;frk+17;2.357696895;1.0e-08;frk+17;2.152813;2.0e-06;frk+17;110.6030;1.0e-03;frk+17;0.0705580;1.0e-06;frk+17;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
15;B0021-72I;mlr+91;J0024-7204I;mlr+91;00:24:07.9347;2.0e-04;frk+17;-72:04:39.6815;7.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.892;-44.893;286.944699530490;1.0e-11;frk+17;3.7771E-15;2.0e-19;frk+17;-3.35E-26;9.0e-28;frk+17;*;0;*;51600;frk+17;24.4303;3.0e-04;apr+23;*;0;*;*;0;*;*;0;*;ELL1;frk+17;*;0;*;0.2297922489;4.0e-10;frk+17;0.0384460;1.0e-06;frk+17;*;0;*;*;0;*;51600.002421;2.0e-06;frk+17;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
16;B0021-72J;mlr+91;J0024-7204J;mlr+91;00:23:59.4077;1.0e-04;frk+17;-72:03:58.7908;5.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.909;-44.903;476.046858440610;1.0e-11;frk+17;2.2190E-15;2.0e-19;frk+17;2.00E-26;1.0e-27;frk+17;*;0;*;51600;frk+17;24.5937;5.0e-04;apr+23;*;0;*;*;0;*;0.440;1.0e-02;zhm+19;BTX;frk+17;51600.1084250;6.0e-07;frk+17;0.12066493772;1.3e-10;frk+17;0.0404058;6.0e-07;frk+17;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
17;B0021-72L;rlm+95;J0024-7204L;rlm+95;00:24:03.7721;3.0e-04;frk+17;-72:04:56.923;2.0e-03;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.898;-44.888;230.08774629142;2.0e-11;frk+17;6.4611E-15;2.0e-19;frk+17;-1.3E-27;1.3e-27;frk+17;*;0;*;51600;frk+17;24.3986;6.0e-04;apr+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
18;B0021-72M;mlr+91;J0024-7204M;mlr+91;00:23:54.4899;3.0e-04;frk+17;-72:05:30.756;2.0e-03;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.913;-44.877;271.98722878874;2.0e-11;frk+17;2.8421E-15;4.0e-19;frk+17;7.0E-27;2.0e-27;frk+17;*;0;*;51600;frk+17;24.426;3.0e-03;apr+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
19;B0021-72N;rlm+95;J0024-7204N;rlm+95;00:24:09.1880;2.0e-04;frk+17;-72:04:28.8907;7.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.890;-44.897;327.444318617390;1.0e-11;frk+17;2.3435E-15;2.0e-19;frk+17;-9.0E-27;2.0e-27;frk+17;*;0;*;51600;frk+17;24.5568;2.0e-04;apr+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
20;J0024-7204O;clf+00;J0024-7204O;clf+00;00:24:04.65254;6.0e-05;frk+17;-72:04:53.7670;2.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.897;-44.889;378.308788360098;6.0e-12;frk+17;-4.34352E-15;8.0e-20;frk+17;4.38E-26;5.0e-28;frk+17;*;0;*;51600;frk+17;24.35800;1.0e-04;apr+23;*;0;*;*;0;*;*;0;*;BTX;frk+17;51600.0757563;3.0e-07;frk+17;0.13597430589;1.0e-10;frk+17;0.0451533;3.0e-07;frk+17;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
21;J0024-7204P;clf+00;J0024-7204P;clf+00;00:24:20;2.9e+01;rft+16;-72:04:10;6.2e+01;rft+16;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51000.00;*;305.872;-44.904;274.49748;2.0e-05;rft+16;-5.0E-14;3.0e-14;rft+16;*;0;*;*;0;*;51000;rft+16;24.29;3.0e-02;rft+16;*;0;*;*;0;*;*;0;*;BT;rft+16;52912.54810;1.0e-04;rft+16;0.147248891;7.0e-09;rft+16;0.038008;4.0e-06;rft+16;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104);pksgc;*;
22;J0024-7204Q;clf+00;J0024-7204Q;clf+00;00:24:16.4909;1.0e-04;frk+17;-72:04:25.1644;6.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.877;-44.899;247.943237418920;9.0e-12;frk+17;-2.0907E-15;2.0e-19;frk+17;7.0E-28;1.1e-27;frk+17;*;0;*;51600;frk+17;24.2794;9.0e-04;apr+23;*;0;*;*;0;*;*;0;*;ELL1;frk+17;*;0;*;1.1890840496;4.0e-10;frk+17;1.4622043;9.0e-07;frk+17;129.4;0.0e+00;frk+17;8.03E-5;0.0e+00;frk+17;51600.2842078;2.0e-07;frk+17;6.20E-5;1.0e-06;frk+17;-5.1E-5;2.0e-06;frk+17;4.520;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[rvh+15];pksgc;*;
