J0056+4756 00:56:25.511 20 +47:56:10.5 3 123.80 -14.93 0.472036662076 7 3.32849 7 49872.0 18.09 4 * 0 1.00 3.0 5 * 0 0000000040 gb2
J0057-7201 00:57:44.0 4 -72:01:19 2 302.24 -45.10 0.7380624426 2 0.1 8 51213.0 27 5 * 0 +2.49 * 0 * 0 0000400000 misc
J0100-7211 01:00:43.14 13 -72:11:33.8 6 301.93 -44.92 5.43987 3 15000 3 52044 * 0 * 0 * * 0 * 0 0000400000 misc
J0102+6537 01:02:32.960 16 +65:37:13.38 9 124.08 2.77 1.679164229064 12 5.95492 9 49675.0 65.853 16 * 0 2.45 8.5 8 1.2 2 0000000220 gb1,gb3
J0108+6608 01:08:22.65 5 +66:08:34.0 3 124.65 3.33 1.2836598429 5 13.051 3 50011.0 30.46 5 -29 3 1.65 10 1 0.9 2 0000000062 jb1,gb1,gb2
J0108+6905 01:08:29.504 20 +69:05:52.63 10 124.46 6.28 1.071118109859 5 0.04809 4 49875.0 61.092 16 * 0 2.59 3.7 4 0.4 0 0000000040 gb2
J0108-1431 01:08:08.318 5 -14:31:49.2 1 140.93 -76.81 0.807564614019 20 0.07704 12 50889.0 2.38 19 -1 3 0.13 9 0 * 0 0000004000 pks70
J0113-7220 01:13:11.09 3 -72:20:32.20 15 300.62 -44.69 0.32588301613 1 4.859 15 51212.0 125.49 3 * 0 +2.51 * 0 * 0 0000400000 misc
J0117+5914 01:17:38.661 3 +59:14:38.391 19 126.28 -3.46 0.1014390664824 20 5.84996 17 49751.0 49.423 4 * 0 2.14 7.6 6 0.3 0 0000000200 gb3
J0133-6957 01:33:32.46 1 -69:57:29.68 3 297.69 -46.74 0.463473741703 3 0.12 2 49980.199219 22.948 8 7 1 +2.42 5 0 * 0 0000004000 pks70
J0134-2937 01:34:18.6629 3 -29:37:16.835 7 230.25 -80.25 0.13696158413510 10 0.0783718 10 50846.0 21.806 6 13 2 +1.78 9 0 2.4 0 0000004000 pks70
J0137+16 01:37:31 20 +16:55 5 138.49 -44.56 0.41477 1 0 0 51264 26 10 * 0 +2.51 * 0 * 0 0000400000 misc
J0139+5814 01:39:19.748 3 +58:14:31.796 19 129.22 -4.04 0.272450630950 15 10.7117 12 49289.0 73.779 4 -90 4 2.89 28 2 4.6 4 0000000260 gb1,gb2,gb3
J0141+6009 01:41:39.938 8 +60:09:32.30 7 129.15 -2.11 1.2229485205457 18 0.39107 14 49293.0 34.797 11 -48 3 1.9 49 5 4.5 9 0000400200 misc,gb3
J0142+61 01:46:22 1 +61:45:00 10 129.38 -0.43 8.688329151 9 1962.89011 19 51703.999 * 0 * 0 * * 0 * 0 0000400000 misc
J0147+5922 01:47:44.6596 16 +59:22:3.217 13 130.06 -2.72 0.1963212793124 4 0.256769 3 49677.0 40.111 3 -19 5 1.91 6.6 5 2.1 3 0000000200 gb3
J0151-0635 01:51:22.701 12 -06:35:2.8 4 160.37 -65.00 1.464664549334 7 0.44259 5 49347.0 25.66 3 2 4 +1.93 38 15 1.3 8 0000004010 mol2,pks70
J0152-1637 01:52:10.8536 18 -16:37:52.99 5 179.31 -72.46 0.8327416126878 13 1.2992 6 48227.0 11.922 4 2 1 0.79 20 4 1.5 4 0000004010 mol2,pks70
J0156+3949 01:56:55.3 3 +39:49:29 4 136.37 -21.33 1.81156061131 10 0.1516 10 49701.0 60.0 6 * 0 +4.85 4 1 * 0 0000000040 gb2
J0157+6212 01:57:49.937 19 +62:12:25.90 13 130.59 0.33 2.35174493646 7 188.925 5 49709.0 30.21 3 -29 7 1.61 6.5 8 1.9 3 0000000202 jb1,gb3
J0205+6449 02:05:37.92 8 +64:49:42.8 5 130.72 3.08 0.0656863566 2 193.00073 4 52343.5097 140.7 3 * 0 3.2 * 0 0.045 0 0000400000 misc
J0206-4028 02:06:01.268 9 -40:28:04.33 14 258.60 -69.63 0.630550140847 6 1.1994 5 46800.0 12.9 12 -4 5 0.88 11 0 1.0 0 0000004010 mol2,pks70
J0211-8159 02:11:59.0 3 -81:59:36.2 3 299.59 -34.61 1.0773327013 8 0.29 2 49525.140000 24.36 3 * 0 1.83 6 0 * 0 0000004000 pks70
J0215+6218 02:15:56.626 9 +62:18:33.38 7 132.58 1.03 0.548879819155 3 0.66212 3 51341.0 84.00 5 * 0 3.19 * 0 3.7 7 0000400000 misc
J0218+4232 02:18:06.3511 15 +42:32:17.43 3 139.51 -17.53 0.0023230904678309 17 7.7389e-05 17 50864.000000 61.252 5 * 0 +5.85 35 5 0.9 2 0000400000 misc
J0231+7026 02:31:14.00 3 +70:26:33.88 14 131.16 9.18 1.466820306152 7 3.10998 7 49692.0 46.64 3 * 0 2.25 2.4 2 0.3 1 0000000040 gb2
J0248+60 02:48 1 +60:00 60 137.02 0.36 0.217 1 0 0 * * 0 * 0 * * 0 * 0 0000400000 misc
