   JNAME            RAJ         e        DECJ         e   l      b              P                  e     PDOT            e    PEPOCH      Dist    OSURVEY     SURVEY   
J0142+61          01:42         1      +61:00         1 129.02  -1.27               8.688059       7          2340      76             *       * 2000000000      misc  
J0525-6607        05:25:55      5      -66:07:00     20 276.14 -33.25                    8.1       7             *       *             *       * 2000000000      misc  
J1048-5937        10:48:06      1      -59:37         1 287.91  -0.39               6.449769       4         22000    1000             *       * 2000000000      misc  
J1708-4008        17:08:46.5    9      -40:08:53     10 346.48  +0.04             10.9994427       4         19237      49             *       * 2000000000      misc  
J1808-2024        18:08:39      1      -20:24:39     15  10.00  -0.24               7.476551       3         28000   14000             *       * 2000000000      misc  
J1841-0456        18:41:19      2      -04:56:13      3  27.39  -0.01               11.76573       3         41330     140             *       * 2000000000      misc  
J1845-0256        18:45:53.3    1      -02:56:42      1  29.68  -0.11                 6.9713       3             *       *             *       * 2000000000      misc  
J1907+0919        19:07:14      1      +09:19:19     25  43.02  +0.77                5.15913       3        1.09E5      11             *       * 2000000000      misc  
J2301+5852        23:01:07.9    1      +58:52:46      1 109.09  -1.00            6.978948500      10         488.3       3             *       * 2000000000      misc  
